DatabaseName,ParentSchema,ParentTable,ColumnName,ColumnOrder,DataType,ColumnSize,ConstraintType,ChildSchema,ChildTable,ChildColumn
,main,escrow_transactions,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,escrow_transactions,escrow_account_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,escrow_account_id,2,integer,NULL,FOREIGN KEY,main,escrow_accounts,id
,main,escrow_transactions,milestone_id,3,integer,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,milestone_id,3,integer,NULL,FOREIGN KEY,main,escrow_milestones,id
,main,escrow_transactions,transaction_type,4,varchar,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,amount,5,numeric,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,status,6,varchar,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,stripe_payment_intent_id,7,varchar,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,stripe_transfer_id,8,varchar,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,transaction_metadata,9,text,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,description,10,text,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,processed_at,11,datetime,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,created_at,12,datetime,NULL,NULL,NULL,NULL,NULL
,main,escrow_transactions,updated_at,13,datetime,NULL,NULL,NULL,NULL,NULL
,main,failed_jobs,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,failed_jobs,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,failed_jobs,uuid,2,varchar,NULL,NULL,NULL,NULL,NULL
,main,failed_jobs,uuid,2,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,failed_jobs,connection,3,text,NULL,NULL,NULL,NULL,NULL
,main,failed_jobs,queue,4,text,NULL,NULL,NULL,NULL,NULL
,main,failed_jobs,payload,5,text,NULL,NULL,NULL,NULL,NULL
,main,failed_jobs,exception,6,text,NULL,NULL,NULL,NULL,NULL
,main,failed_jobs,failed_at,7,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,fraud_detection_alerts,alert_id,2,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,alert_id,2,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,fraud_detection_alerts,user_id,3,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,user_id,3,integer,NULL,FOREIGN KEY,main,users,id
,main,fraud_detection_alerts,alert_type,4,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,rule_name,5,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,fraud_case_id,6,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,fraud_case_id,6,integer,NULL,FOREIGN KEY,main,fraud_detection_cases,id
,main,fraud_detection_alerts,alert_message,7,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,alert_data,8,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,risk_score,9,numeric,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,severity,10,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,status,11,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,assigned_admin_id,12,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,assigned_admin_id,12,integer,NULL,FOREIGN KEY,main,users,id
,main,fraud_detection_alerts,triggered_at,13,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,acknowledged_at,14,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,resolved_at,15,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,resolution_notes,16,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,notified,17,tinyint,1,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,notification_channels,18,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,ip_address,19,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,user_agent,20,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,context_data,21,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,created_at,22,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_alerts,updated_at,23,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,fraud_detection_cases,case_id,2,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,case_id,2,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,fraud_detection_cases,user_id,3,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,user_id,3,integer,NULL,FOREIGN KEY,main,users,id
,main,fraud_detection_cases,fraud_type,4,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_cases,description,5,text,NULL,NULL,NULL,NULL,NULL
